index,input,type,A,B,C,D,E,F,summary,A_c,B_c,C_c,D_c,E_c,F_c,sentiment_gpt
1,"画像生成AIの許諾不要な状態が作品の作成者、著作権者ならびに著作者の利益と機会に対して平等を著しく毀損している。
画像生成AIの許諾不要な状態が許容しないこと。",規範的主張,画像生成AIの許諾不要な状態,作品の作成者、著作権者ならびに著作者の利益と機会に対して平等を著しく毀損している,画像生成AIの許諾不要な状態,許容しないこと,NA,NA,画像生成AIの許諾不要な状態は作品の作成者、著作権者ならびに著作者の利益と機会に対して平等を著しく毀損しているから、画像生成AIの許諾不要な状態は許容しないことであるべきである。,3334,1938,3334,2353,2960,2960,0.1
2,"生成AIが日本の経済に対して低迷させている。
日本政府が日本を助けるようにして欲しい。",要望,生成AI,日本の経済に対して低迷,NA,NA,日本政府,日本を助ける,生成AIが日本の経済に対して低迷しているから、日本政府には日本を助けて欲しい。,0,4196,2960,2960,509,3692,0.1
3,"生成AIが世界に対して自殺者を出してしまっている状況を引き起こしている。
赤松議員が生成AIを使った被害に対して起きていないと認識されている。",要望,生成AIが,自殺者を出している,NA,NA,赤松議員,認識を改めて欲しい,生成AIが自殺者を出しているから、赤松議員には認識を改めて欲しい。,0,1247,2960,2960,597,3609,0.2
4,"生成AIの出力した画像が作風等を模倣している場合が著作権法上の侵害にならないという点について。
著作権法が柔軟な改訂が求められる。",規範的主張,生成AIの出力,著作権法上の侵害にならない,著作権法の改訂,柔軟なもの,NA,NA,生成AIの出力が著作権法上の侵害にならないから著作権法の改訂が柔軟なものであるべきである。,0,15,101,2745,2960,2960,0.1
5,"反AIと呼ばれる方々が生成AI利用者に対して犯罪者とのレッテル張り等を行っている。
関係者が様々な懸念の声についての意見を周知、啓蒙を一層進めて欲しい。",要望,反AIと呼ばれる方々,生成AI利用者に対して犯罪者とのレッテル張り等を行っている,NA,NA,関係者,懸念の声についての意見を周知、啓蒙を一層進めて,反AIと呼ばれる方々が生成AI利用者に対して犯罪者とのレッテル張り等を行っているから、関係者に対して懸念の声についての意見を周知、啓蒙を一層進めて欲しい。,3241,4950,2960,2960,2056,2461,0.7
6,"報道機関を含む権利者による解釈がAI開発に対して強い抑制効果をもたらしている。
法第30条の4の意味が無いものであるべきではない。",規範的主張,報道機関の解釈,AI開発に対する抑制効果,法第30条の4の意味,無いものでない,NA,NA,報道機関の解釈はAI開発に対する抑制効果をもたらしているから、法第30条の4の意味が無いものでないべきである。,2721,584,1001,412,2960,2960,0.8
7,"人間とAIとの差が人間とAIに対して曖昧である。
人間に許される行為がAIにも許されるべきである。",規範的主張,人間とAIの差,曖昧,人間に許される行為,AIにも許されるべき,NA,NA,人間とAIの差が曖昧だから、人間に許される行為がAIにも許されるべきである。,20,2421,4259,4056,2960,2960,0.8
8,"AIにおいての学び（すなわちデータのインプットとその処理蓄積）を著作権で制限することが人間の学びと何が違うのかという観点で考察を行った際の差異があまりないように思われる。
コンピューターサイエンスの発展が妨げることとなる。",要望,AIにおいての学び,著作権で制限,NA,NA,コンピューターサイエンス,発展を妨げないように,AIにおいての学びが著作権で制限されるから、コンピューターサイエンスに対して発展を妨げないようにして欲しい。,7,311,2960,2960,4021,4265,0.8
9,"著作権法「第30条の4」の規定が著作権者に機械学習の対価を支払う必要はないという考えを助長させている状況がクリエイター等のウェルネスを悪化させる。
AIの学習には著作権者の許諾を必要とする法改正が決断を下していただきたい。",要望,著作権法の規定,クリエイターのウェルネスを悪化させる,NA,NA,法改正,著作権者の許諾を必要とする,著作権法の規定がクリエイターのウェルネスを悪化させるから、法改正に対して著作権者の許諾を必要として欲しい。,15,3019,2960,2960,240,15,0.2
10,"AI学習のための著作物の複製等を防止する技術的な措置が法第30の4による権利制限に対して形骸化してしまう状況を引き起こしている。
我が国のAI学習が多大なる負の影響を及ぼすべきではない。",規範的主張,AI学習のための著作物の複製等,権利制限に対して形骸化してしまう状況,我が国のAI学習,負の影響を及ぼすべきではない,NA,NA,AI学習のための著作物の複製等が権利制限に対して形骸化してしまう状況だから、我が国のAI学習は負の影響を及ぼすべきではない。,3573,4393,3926,2436,2960,2960,0.2
11,"海賊版サイトなどの違法サイトや違法データからの学習がAI制作者に対して氾濫するおそれがある。
海賊版サイトなど違法な学習元からの学習行為が違法にするべき。",規範的主張,海賊版サイトなど,違法サイトや違法データ,学習行為,違法にするべき,NA,NA,海賊版サイトなどの違法サイトや違法データからの学習行為は違法にするべきである。,989,2089,260,21,2960,2960,0.2
12,"文章生成系のAIが日本の労働人口不足の解消や生産性向上を大きく寄与する可能性がある。
生成AIの活用が基本的に推進していくべきである。",規範的主張,文章生成系のAI,労働人口不足の解消や生産性向上に寄与する可能性,生成AIの活用,基本的に推進すべき,NA,NA,文章生成系のAIが労働人口不足の解消や生産性向上に寄与する可能性があるから、生成AIの活用が基本的に推進すべきである。,593,5076,0,1575,2960,2960,0.8
