source,target,date,weight
0,11,2000-01-01,3.0
15,369,2000-01-01,2.0
15,2383,2000-01-01,4.0
25,0,2000-01-01,2.0
40,2383,2000-01-01,2.0
41,15,2000-01-01,3.0
44,18,2000-01-01,3.0
44,27,2000-01-01,5.0
44,39,2000-01-01,24.0
44,82,2000-01-01,2.0
44,342,2000-01-01,3.0
44,368,2000-01-01,2.0
44,2462,2000-01-01,5.0
44,2583,2000-01-01,2.0
52,39,2000-01-01,2.0
52,82,2000-01-01,3.0
57,0,2000-01-01,2.0
91,4683,2000-01-01,2.0
101,39,2000-01-01,4.0
106,0,2000-01-01,2.0
15,191,2000-01-01,2.0
106,44,2000-01-01,2.0
15,179,2000-01-01,7.0
15,39,2000-01-01,4.0
7,15,2000-01-01,10.0
7,18,2000-01-01,5.0
7,21,2000-01-01,2.0
7,48,2000-01-01,4.0
7,127,2000-01-01,2.0
7,243,2000-01-01,2.0
7,356,2000-01-01,2.0
7,2383,2000-01-01,2.0
10,15,2000-01-01,2.0
10,157,2000-01-01,2.0
10,245,2000-01-01,2.0
12,27,2000-01-01,3.0
12,39,2000-01-01,5.0
13,15,2000-01-01,2.0
13,18,2000-01-01,4.0
13,68,2000-01-01,3.0
13,216,2000-01-01,3.0
15,0,2000-01-01,19.0
15,13,2000-01-01,2.0
15,49,2000-01-01,2.0
6,64,2000-01-01,2.0
110,106,2000-01-01,2.0
111,0,2000-01-01,3.0
369,187,2000-01-01,2.0
369,249,2000-01-01,2.0
972,39,2000-01-01,2.0
1677,182,2000-01-01,2.0
2107,365,2000-01-01,3.0
2383,12,2000-01-01,5.0
2383,18,2000-01-01,3.0
2383,44,2000-01-01,7.0
2383,52,2000-01-01,6.0
2383,115,2000-01-01,5.0
2383,138,2000-01-01,2.0
2383,153,2000-01-01,2.0
2383,285,2000-01-01,3.0
2427,0,2000-01-01,5.0
2613,44,2000-01-01,4.0
2613,115,2000-01-01,2.0
3212,0,2000-01-01,2.0
3212,44,2000-01-01,3.0
4491,18,2000-01-01,2.0
369,153,2000-01-01,4.0
110,111,2000-01-01,4.0
369,115,2000-01-01,3.0
369,44,2000-01-01,3.0
123,0,2000-01-01,3.0
143,0,2000-01-01,2.0
164,2383,2000-01-01,2.0
195,1299,2000-01-01,2.0
224,0,2000-01-01,2.0
234,2427,2000-01-01,4.0
240,39,2000-01-01,2.0
253,15,2000-01-01,2.0
269,44,2000-01-01,2.0
286,39,2000-01-01,3.0
287,156,2000-01-01,1.0
288,156,2000-01-01,2.0
329,39,2000-01-01,3.0
356,0,2000-01-01,5.0
365,44,2000-01-01,2.0
365,369,2000-01-01,2.0
366,63,2000-01-01,2.0
369,12,2000-01-01,3.0
369,18,2000-01-01,2.0
369,52,2000-01-01,2.0
0,4257,2000-01-01,4.0
208,3900,2000-01-01,2.0
0,232,2000-01-01,2.0
0,258,2000-01-01,2.0
0,265,2000-01-01,6.0
0,81,2000-01-01,2.0
0,69,2000-01-01,2.0
0,68,2000-01-01,5.0
0,65,2000-01-01,4.0
0,268,2000-01-01,3.0
0,269,2000-01-01,3.0
0,18,2000-01-01,35.0
0,21,2000-01-01,2.0
0,273,2000-01-01,4.0
0,289,2000-01-01,2.0
0,291,2000-01-01,2.0
0,298,2000-01-01,2.0
0,318,2000-01-01,2.0
0,324,2000-01-01,3.0
0,328,2000-01-01,2.0
0,136,2000-01-01,2.0
0,356,2000-01-01,5.0
0,254,2000-01-01,3.0
0,248,2000-01-01,2.0
0,243,2000-01-01,7.0
0,90,2000-01-01,2.0
0,161,2000-01-01,2.0
0,164,2000-01-01,4.0
0,133,2000-01-01,2.0
0,175,2000-01-01,2.0
0,181,2000-01-01,2.0
0,206,2000-01-01,2.0
0,123,2000-01-01,2.0
0,122,2000-01-01,3.0
0,216,2000-01-01,4.0
0,360,2000-01-01,2.0
0,218,2000-01-01,2.0
0,219,2000-01-01,3.0
0,222,2000-01-01,2.0
0,223,2000-01-01,2.0
0,106,2000-01-01,8.0
0,17,2000-01-01,5.0
0,224,2000-01-01,2.0
0,92,2000-01-01,13.0
0,236,2000-01-01,3.0
0,241,2000-01-01,2.0
0,114,2000-01-01,3.0
0,25,2000-01-01,3.0
0,338,2000-01-01,2.0
0,63,2000-01-01,3.0
0,61,2000-01-01,2.0
0,15,2000-01-01,60.0
0,59,2000-01-01,2.0
0,52,2000-01-01,4.0
0,48,2000-01-01,9.0
0,1471,2000-01-01,3.0
0,2487,2000-01-01,2.0
0,43,2000-01-01,2.0
0,1157,2000-01-01,3.0
0,1009,2000-01-01,2.0
0,1005,2000-01-01,2.0
0,2939,2000-01-01,2.0
0,42,2000-01-01,5.0
0,365,2000-01-01,3.0
0,62,2000-01-01,2.0
0,3212,2000-01-01,4.0
0,3222,2000-01-01,2.0
0,27,2000-01-01,2.0
0,373,2000-01-01,2.0
0,1976,2000-01-01,1.0
0,498,2000-01-01,2.0
0,774,2000-01-01,4.0
0,40,2000-01-01,3.0
0,32,2000-01-01,3.0
1976,4304,2001-01-01,1.0
2056,2461,2001-01-01,1.0
1976,0,2001-01-01,1.0
1987,0,2001-01-01,1.0
1989,1114,2001-01-01,1.0
2016,0,2001-01-01,1.0
2026,5107,2001-01-01,1.0
1937,1887,2001-01-01,1.0
2821,2308,2001-01-01,1.0
2056,1069,2001-01-01,1.0
2853,238,2001-01-01,1.0
1976,435,2001-01-01,1.0
2455,1368,2001-01-01,1.0
2099,18,2001-01-01,1.0
2476,2182,2001-01-01,1.0
2395,450,2001-01-01,1.0
2391,4005,2001-01-01,1.0
2484,3147,2001-01-01,1.0
2525,44,2001-01-01,1.0
2546,4330,2001-01-01,1.0
2596,148,2001-01-01,1.0
2084,4744,2001-01-01,1.0
2609,4282,2001-01-01,1.0
2757,1740,2001-01-01,1.0
2308,2026,2001-01-01,1.0
2421,4259,2001-01-01,1.0
2299,956,2001-01-01,1.0
2182,5108,2001-01-01,1.0
2182,2047,2001-01-01,1.0
2163,1804,2001-01-01,1.0
2721,584,2001-01-01,1.0
2905,4091,2001-01-01,1.0
0,4012,2001-01-01,1.0
2988,1154,2001-01-01,1.0
4061,2269,2001-01-01,1.0
4173,4263,2001-01-01,1.0
4202,4831,2001-01-01,1.0
