Id,label
0,AIが著作権存在
6,生成AIが技術と文化の発展
7,不正に学習した生成AI
10,AIという技術
11,学習が許可なく行われないように
12,AIの規制の欠如
13,AIの活用
15,著作権利者
17,規制もしくは免許制
18,強い規制をかけることが必要
20,人間とAIの差
21,違法とすべき
23,使用者
25,作家さんに対して筆を折る状態
27,厳しいものであるべき
32,著作権や肖像権に対して権利侵害を引き起こしている
39,必要
40,イラストレーターに被害
41,AIの学習データ
42,権利が侵害されている
43,必要が無い
44,生成AIに対する規制
48,禁止すべき
49,国家
50,生成AI関連でのトラブル
52,きちんとした規制
53,拡大解釈されている
55,法律専門家
57,窃盗
59,クリエイターに対して意欲を損失させている
61,人間の作品を学習
62,無許可で利用
63,学習データの切り貼り
64,意義を失わせ阻害している
65,利用すべきではない
68,反対
69,問題がある
81,無断使用
82,得るべきである
90,クリエイターの仕事を奪う
91,素案が反対
92,規制もしくは免許制にしてほしい
93,定められるべき
101,著作権法の改正
106,トラブルを引き起こしている
110,生成AIが手描きとAI絵の判別に
111,問題がある状況
114,許すべきではない
115,生成AIに規制かライセンスを設けて欲しい
122,全面的に禁止
123,悪い影響を与えている
127,クリエイターが困惑
133,無断で取り込んでいる
136,無法地帯であってはならない
137,問題ないはず
138,生成AIに関する規制は必要
143,著作権の許諾なしに学習
148,一般人
153,規制してほしい
156,法の整備をして欲しい
157,痕跡を消される懸念
161,影響を及ぼしている
164,仕事を奪う事態
175,クリエイターの権利を脅かしている
179,守るべきである
181,絵描きの仕事が奪われないように
182,AIの使用に対して反対
187,厳しい取締り
191,適用するべき
195,AIが日本の作品文化
206,イラストレーターの仕事に対して無くなるかもしれない状況
208,無断データでの生成AI開発
216,制限されるべき
218,クリエイターに対して存在が脅かされている
219,全面的に反対である
222,文化衰退の原因
223,著作物の無断使用
224,二次創作である
232,創作文化の縮小・破壊
234,手描きとAI絵の判別がつかず
236,全面的な規制
238,否定的な意見がある
240,法改正
241,クリエイターの活動
243,反対であるべき
245,悪くない
248,慎重に判断されるべき
249,厳しい取り締まりをしてほしい
253,学習データの収集
254,クリエイターに利益なし
258,需要が代替される
265,認められないべき
268,被害を受けている
269,無断学習
273,断固として反対
275,著作物性を認めるべき
279,AI反対派の意見
285,生成AIの規制をいち早く進める
286,法規制
287,法整備者
288,法体制
289,断固として認められるものではない
291,著作権侵害や嫌がらせの被害
298,やめるべき
304,生成物が著作権侵害
309,AIと著作権の在り方について考えて欲しい
311,著作権の制限の範囲
318,既存作品に影響
319,技術の発展
324,脅迫をしている
328,創作活動に対して萎縮
329,法整備
338,著作物に対して学習
342,免許制であるべき
350,生成物の著作物性
356,状況を引き起こしている
360,懸念である
365,筆を折らせている
366,生成AIの技術的な背景
368,人間と同じではないべき
369,規制当局
373,反対をして欲しい
392,日本
396,AI生成物の規制
412,無いものでない
421,変更不要
435,日本の生成AIの土壌
450,誰か
461,作風、手法を含むもの
492,促進
498,取り締まるべき
536,生成AIに関する反感
562,著作権の概念
584,AI開発に対する抑制効果
588,生成AIの選択行為
593,文章生成系のAI
632,悪質な嫌がらせや中傷
642,作業効率が落ちる
666,一般的に保護されないアイデア
706,創作的寄与の判断に影響
709,創作活動の停滞
724,機械学習の仕組み
744,画風の著作権保護
774,禁止
812,技術発展に必要
834,考慮されるべき
835,大規模言語モデルの開発・提供
892,産業発展にほぼ同義
900,AI生成画像の無償公開
917,よい土壌
925,反AI的な意見
947,生成AI支持の偏見
952,次のステージに押し上げ
956,AIに関する議論
972,取り締まり
986,クオリティの高いAI
1001,法第30条の4の意味
1005,法律で取り締まって欲しい
1009,厳しく取り締まるべき
1014,国際的な環境差やパワーバランスを考慮しつつ深めるべき
1030,敬意を持って行うべき
1069,回答も交えつつ公開
1114,国際競争力を低下
1128,より明確な定義
1154,読者
1157,被害を引き起こしている
1208,推進・発展
1237,生成AIのデーターセット
1251,決まりを禁止した場合
1254,現状の法規制にとどめる
1265,務めるべき
1299,土壌を荒らしている
1315,創作的意図上の合格基準ラインをクリア
1368,生成画像の加工
1369,創作活動を諦めていた人々に夢と希望を見せている
1400,創造性を刺激
1401,良い落としどころが見つかることを祈って欲しい
1461,具体的な例を出して周知
1471,侵害している
1505,生成AIの学習自体や、機能自体
1526,是非の判断
1530,著作権侵害を意味しないという念押しがあるべき
1556,行為が責任を生じさせる
1575,基本的に推進すべき
1579,開発者と創作者
1603,技術として頑張って欲しい
1647,生成AIのインパクト
1677,筆者
1740,創造性の発展を妨げている
1755,生成AIサービスの質の低下
1804,「AI利用者の懸念」欄
1811,議論が成り立たない
1887,著作権者との協力
1916,読まない人
1937,具体性のない感情で妨げられることがあってはならない
1976,この世の終わり
1985,止めるべきではない
1987,元画像との類似度を自由に変化させる
1989,AIの開発を停止
2016,盗用とも言える状況を引き起こしている
2026,感情の法的反映
2047,生成AIを利用した創作活動の正当性と価値の理解、周知と対策の強化
2056,関係者
2084,私自身のイラスト制作能力が上がってきた
2098,減ってくれること
2099,「自分で作りました」と言う行為
2107,生成AIが好きな作家
2132,誤解に基づく批判による研究開発への支障が出ないように十分な配慮をして欲しい
2163,創作活動や経済活動が阻害される
2182,文化庁
2269,もっといいものを作るべき
2299,国際競争力に対して失わせている
2308,人に対して
2333,全面的に認められるべき
2383,政府
2391,生成AIが仕事のあり方
2395,社会のありようを大きく変革するもの
2421,曖昧
2427,トラブルにならないか不安
2455,人に見せる形で利用
2461,懸念の声についての意見を周知、啓蒙を一層進めて
2462,喫緊の課題
2476,整備されつつある
2484,AIが神絵師の絵柄
2487,イラストレーターに不利益
2525,既存の権利物に酷似
2546,諸外国の推進
2583,進めるべき
2596,一般人に影響を与えていない
2609,理解が足りない
2613,規制機関
2620,個人の同意を得る
2636,教育・啓発の改善を求める
2698,大きく反対
2721,報道機関の解釈
2725,営利利用に規制
2757,誤解と誹謗中傷
2821,AIが職を失う
2853,生成AIがSNS上に
2885,正当な形で利益を享受できる環境作りが必要
2905,研究機関や企業
2939,あってはならない
2952,公的な働きかけを要求
2962,第三者へ明確に答えうる根拠を持ち合わせていない
2988,漫画やアニメの制作分野を目指す若者に対して減少する
2992,富を最大化しつつ、それをあらゆる人に還元できる仕組みが望ましい
3034,萎縮的効果をもたらす
3045,機会を失わせている
3053,文化庁の職員が
3060,生成AIの研究
3070,AIを受け入れていると認知して欲しい
3147,量産され続ける状況
3158,人間が不器用
3169,技術職を淘汰
3206,法規制が技術レベルが世界基準に到達
3212,引き起こしている
3222,勝手に使用されている
3241,反AIと呼ばれる方々
3309,文化・産業の拡大と労働力不足対策に期待される効果が大きい
3328,有料素材サイト
3394,感情に関わってくる
3446,既存作品の切り貼りでない
3457,著作物への認定ライン
3474,同様の行為を防止、抑制するための文章が必要
3492,騒ぐ必要はない
3579,遅くはない
3604,クリアであるべき
3659,特定の絵師を狙って学習させた生成AI
3672,創作活動の規則
3685,肯定派に対して積極的
3733,文化・産業の全面での活用
3783,クリエイティブ関係者
3822,AIの監督
3826,創作活動の委縮
3845,イノベーション等に対して妨げる恐れ
3864,魔女狩りじみている
3885,オプトアウトシステム
3900,不当な権利の侵害行為
3956,権利や報酬が発生するシステム
4005,変化をもたらしている
4012,日本の文化や経済に寄与する可能性
4020,人間が描いたものと同様
4021,コンピューターサイエンス
4056,AIにも許されるべき
4061,クリエイター
4091,学習や開発を安心して実施
4173,民間企業やクリエイター
4200,望ましくない
4202,制限
4257,奪っている
4259,人間に許される行為
4263,技術開発の妨げになる要素を廃すべき
4265,発展を妨げないように
4282,理解の周知
4304,LoRa等のアーティスト
4330,技術格差による危険性
4371,生成者
4409,画像AIの正しい理解と健全な使用
4487,権利を守る決まり
4491,AI
4507,準備運動
4570,権利範囲を広げられる懸念
4571,クリエイターへの敬意に欠けている
4593,出所が正しく、著作の許可を取っている
4683,断固として
4686,二次創作が萎縮しないように
4703,著作権法が保護しようとしている著作権者に損益のないように整備していってほしい
4728,可能性を閉じること
4732,依拠性を明確にする
4737,I2Iがパラメーター変更に対して
4743,生成AIの一般化にトラブルを引き起こしている
4744,全面的な生成AIの規制
4771,生成AIに対する著作物の学習および使用
4775,読ませるべき
4790,契約上の債務不履行
4822,一次産業の人達
4831,設けるべきではない
4837,既存の創作方法と同様のロジックであるべき
4849,生成AI開発規制
4866,画像生成AIの使用に関する問題について慎重な検討をして欲しい
4899,AIが人類に
4910,情報工学的な生成AIの仕組みを誤解している
4924,訓練データの利用
4950,生成AI利用者に対して犯罪者とのレッテル張り等を行っている
4968,全世界で同時にやるべき
4971,創作物の総量爆発的増加
5030,AIを犯罪に用いること
5059,才能の民主化の火を絶やさないであるべき
5076,労働人口不足の解消や生産性向上に寄与する可能性
5107,反映すべきではない
5108,周知して欲しい
